name,state,population,lat,lon,pleasant
trenton,nj,84225,40.223748,-74.764001,0.08767123287671233
santa fe,nm,84099,35.665194,-105.973427,0.0027397260273972603
bloomington,in,84067,39.1637,-86.524264,0.0958904109589041
cicero,il,83886,41.844537,-87.759287,0.10684931506849316
hemet,ca,83861,33.735226,-116.994604,0.038356164383561646
johns creek,ga,83335,34.032739,-84.203848,0.14794520547945206
mission,tx,83298,26.20406,-98.325225,0.11232876712328767
troy,mi,83280,42.583882,-83.145533,0.10684931506849316
buena park,ca,83270,33.857353,-118.007373,0.16164383561643836
palm coast,fl,82893,29.542153,-81.250316,0.5073746312684366
fayetteville,ar,82830,36.071473,-94.166559,0.11506849315068493
lake forest,ca,82492,33.654946,-117.675848,0.2054794520547945
merced,ca,82436,37.305695,-120.477871,0.005479452054794521
longview,tx,82287,32.519331,-94.764901,0.09315068493150686
bryan,tx,82118,30.666518,-96.367649,0.15342465753424658
westland,mi,82000,42.319173,-83.380778,0.0684931506849315
warwick,ri,81699,41.700757,-71.420334,0.0821917808219178
lakewood,ca,81611,33.847135,-118.121894,0.18904109589041096
farmington hills,mi,81330,42.485648,-83.375961,0.10684931506849316
mount pleasant,sc,81317,32.850085,-79.829903,0
cranston,ri,81073,41.769734,-71.485049,0.0821917808219178
largo,fl,81000,27.906392,-82.771467,0.3643835616438356
avondale,az,80684,33.313241,-112.328949,0.09217877094972067
tustin,ca,80583,33.730908,-117.810603,0.2054794520547945
mountain view,ca,80435,38.00924,-122.116855,0.016713091922005572
napa,ca,80434,38.29722,-122.30117,0.0027397260273972603
somerville,ma,80318,42.390445,-71.101033,0
lawrence,ma,80231,42.700273,-71.161357,0.057534246575342465
st. george,ut,80202,37.08208,-113.564859,0.11232876712328767
melbourne,fl,80127,28.11708,-80.641929,0.410958904109589
parma,oh,79937,41.383569,-81.728641,0.08767123287671233
new rochelle,ny,79846,40.923243,-73.779344,0
lynchburg,va,79812,37.399016,-79.195458,0.12054794520547946
medford,or,79805,42.336896,-122.854244,0
deerfield beach,fl,79768,26.311594,-80.125447,0.48626373626373626
pleasanton,ca,79510,37.667185,-121.88123,0.0027397260273972603
brooklyn park,mn,79149,45.110906,-93.349088,0.052054794520547946
goodyear,az,79003,33.254031,-112.366472,0.09217877094972067
kennewick,wa,78896,46.198265,-119.173645,0.0027397260273972603
alameda,ca,78630,37.741911,-122.259914,0
bellflower,ca,78441,33.887821,-118.12725,0.18904109589041096
chino hills,ca,78309,33.942969,-117.725648,0.038356164383561646
bloomington,il,78292,40.475777,-88.969912,0.0958904109589041
springdale,ar,77859,36.190066,-94.159434,0.25205479452054796
racine,wi,77742,42.728284,-87.807086,0.043835616438356165
hammond,in,77614,41.621638,-87.49381,0.12320916905444126
milpitas,ca,77604,37.433073,-121.890801,0
gary,in,77156,41.595902,-87.345552,0.12320916905444126
scranton,pa,77118,41.404178,-75.665908,0.06575342465753424
baldwin park,ca,77071,34.082824,-117.971286,0.35082872928176795
auburn,wa,77006,47.303773,-122.21,0
st. joseph,mo,76596,39.75969,-94.821142,0.0684931506849315
pharr,tx,76538,26.167913,-98.190219,0.11232876712328767
upland,ca,76443,34.116073,-117.659922,0.0547945205479452
folsom,ca,76375,38.675957,-121.147656,0.010958904109589041
baytown,tx,76335,29.759367,-94.962955,0
san ramon,ca,76134,37.764605,-121.933251,0.0027397260273972603
camden,nj,76119,39.936787,-75.106644,0
lake charles,la,76070,30.202699,-93.214742,0
kalamazoo,mi,76041,42.275163,-85.588501,0.07671232876712329
plymouth,mn,75907,45.022045,-93.462576,0.052054794520547946
evanston,il,75527,42.046391,-87.694352,0
manteca,ca,75448,37.790498,-121.230626,0.0027397260273972603
wyoming,mi,75275,42.892661,-85.708713,0.06027397260273973
loveland,co,75182,40.41708,-105.061855,0.005479452054794521
perris,ca,74971,33.790224,-117.221412,0.038356164383561646
bethlehem,pa,74892,40.626424,-75.367898,0.0547945205479452
albany,ga,74843,31.578037,-84.176225,0.15616438356164383
gastonia,nc,74543,35.249881,-81.186064,0.13150684931506848
layton,ut,74143,41.077423,-111.960727,0.021917808219178082
appleton,wi,74139,44.277947,-88.388264,0.06027397260273973
fort myers,fl,74013,26.619681,-81.831725,0.2958904109589041
boynton beach,fl,73966,26.528327,-80.080734,0.8583333333333333
jonesboro,ar,73907,35.819733,-90.67905,0.10220994475138122
warner robins,ga,73490,32.597096,-83.653936,0.13972602739726028
rochester hills,mi,73424,42.663484,-83.159196,0.10684931506849316
decatur,il,73254,39.855983,-88.933746,0.10410958904109589
southfield,mi,73156,42.47464,-83.259509,0.10684931506849316
new britain,ct,72808,41.676555,-72.786161,0.08493150684931507
franklin,tn,72639,35.921251,-86.852281,0.13150684931506848
turlock,ca,72292,37.505214,-120.858764,0.00821917808219178
temple,tx,72277,31.108381,-97.389125,0.11898016997167139
apple valley,ca,72174,34.533376,-117.210358,0.03561643835616438
lynwood,ca,71989,33.923962,-118.201647,0.23013698630136986
waukesha,wi,71970,43.009237,-88.246751,0.06027397260273973
wilmington,de,71948,39.735651,-75.532104,0.12054794520547946
canton,oh,71885,40.808552,-81.367116,0.08767123287671233
gulfport,ms,71856,30.419487,-89.069022,0.2219178082191781
pawtucket,ri,71591,41.874368,-71.375678,0
lauderhill,fl,71579,26.161671,-80.224961,0.4175824175824176
rock hill,sc,71548,34.943092,-81.020645,0.12876712328767123
flower mound,tx,71253,33.037821,-97.113004,0.10136986301369863
bismarck,nd,71167,46.812084,-100.770099,0.00821917808219178
lafayette,in,71111,40.399044,-86.859237,0.09041095890410959
passaic,nj,71085,40.856413,-74.12694,0.09863013698630137
redlands,ca,71035,34.051642,-117.170862,0.1643835616438356
missoula,mt,71022,46.869336,-114.007651,0
rancho cordova,ca,71017,38.576181,-121.246692,0.010958904109589041
